lane_id,origin_region,dest_region,base_lead_time_days,transport_mode,distance_km,reliability_score,capacity_units_per_week
LANE001,APAC,APAC,2,TRUCK,500,0.95,5000
LANE002,APAC,North America,12,AIR,9500,0.88,2000
LANE003,APAC,North America,28,SEA,9500,0.92,8000
LANE004,APAC,Europe,14,AIR,8500,0.87,1800
LANE005,APAC,Europe,32,SEA,8500,0.91,7000
LANE006,APAC,Latin America,16,AIR,17000,0.82,1200
LANE007,APAC,Latin America,38,SEA,17000,0.85,4500
LANE008,APAC,Africa,13,AIR,7500,0.84,1500
LANE009,APAC,Africa,30,SEA,7500,0.88,5000
LANE010,North America,APAC,13,AIR,9500,0.87,1900
LANE011,North America,APAC,29,SEA,9500,0.91,7500
LANE012,North America,North America,3,TRUCK,1200,0.96,6000
LANE013,North America,Europe,9,AIR,6500,0.90,2500
LANE014,North America,Europe,21,SEA,6500,0.93,9000
LANE015,North America,Latin America,5,TRUCK,3500,0.91,4000
LANE016,North America,Latin America,15,SEA,3500,0.89,6500
LANE017,North America,Africa,15,AIR,11000,0.83,1400
LANE018,North America,Africa,35,SEA,11000,0.86,4800
LANE019,Europe,APAC,15,AIR,8500,0.86,1700
LANE020,Europe,APAC,33,SEA,8500,0.90,6800
LANE021,Europe,North America,10,AIR,6500,0.89,2400
LANE022,Europe,North America,22,SEA,6500,0.92,8500
LANE023,Europe,Europe,2,TRUCK,800,0.97,7000
LANE024,Europe,Latin America,13,AIR,9000,0.85,1600
LANE025,Europe,Latin America,26,SEA,9000,0.88,5500
LANE026,Europe,Africa,8,AIR,4500,0.88,2200
LANE027,Europe,Africa,18,SEA,4500,0.91,6000
LANE028,Latin America,APAC,17,AIR,17000,0.81,1100
LANE029,Latin America,APAC,39,SEA,17000,0.84,4200
LANE030,Latin America,North America,6,TRUCK,3500,0.90,3800
LANE031,Latin America,North America,16,SEA,3500,0.88,6200
LANE032,Latin America,Europe,14,AIR,9000,0.84,1500
LANE033,Latin America,Europe,27,SEA,9000,0.87,5300
LANE034,Latin America,Latin America,4,TRUCK,2000,0.93,4500
LANE035,Latin America,Africa,12,AIR,8000,0.82,1300
LANE036,Latin America,Africa,25,SEA,8000,0.85,4700
LANE037,Africa,APAC,14,AIR,7500,0.83,1400
LANE038,Africa,APAC,31,SEA,7500,0.87,4900
LANE039,Africa,North America,16,AIR,11000,0.82,1300
LANE040,Africa,North America,36,SEA,11000,0.85,4600
LANE041,Africa,Europe,9,AIR,4500,0.87,2100
LANE042,Africa,Europe,19,SEA,4500,0.90,5800
LANE043,Africa,Latin America,13,AIR,8000,0.81,1200
LANE044,Africa,Latin America,26,SEA,8000,0.84,4500
LANE045,Africa,Africa,3,TRUCK,1000,0.92,3500
