rule_id,region,product_category,product_id,promised_days,priority,customer_tier
SLA001,APAC,Vaccine,P1,7,HIGH,TIER1
SLA002,APAC,Vaccine,P1,10,MEDIUM,TIER2
SLA003,APAC,Vaccine,P1,14,LOW,TIER3
SLA004,APAC,API,P2,9,HIGH,TIER1
SLA005,APAC,API,P2,12,MEDIUM,TIER2
SLA006,APAC,Diagnostic,P3,8,HIGH,TIER1
SLA007,APAC,Biologic,P4,10,HIGH,TIER1
SLA008,APAC,Generic,P5,12,MEDIUM,TIER2
SLA009,North America,Vaccine,P1,5,HIGH,TIER1
SLA010,North America,Vaccine,P1,7,MEDIUM,TIER2
SLA011,North America,Vaccine,P1,10,LOW,TIER3
SLA012,North America,API,P2,7,HIGH,TIER1
SLA013,North America,API,P2,10,MEDIUM,TIER2
SLA014,North America,Diagnostic,P3,6,HIGH,TIER1
SLA015,North America,Biologic,P4,8,HIGH,TIER1
SLA016,North America,Generic,P5,10,MEDIUM,TIER2
SLA017,Europe,Vaccine,P1,6,HIGH,TIER1
SLA018,Europe,Vaccine,P1,9,MEDIUM,TIER2
SLA019,Europe,Vaccine,P1,12,LOW,TIER3
SLA020,Europe,API,P2,8,HIGH,TIER1
SLA021,Europe,API,P2,11,MEDIUM,TIER2
SLA022,Europe,Diagnostic,P3,7,HIGH,TIER1
SLA023,Europe,Biologic,P4,9,HIGH,TIER1
SLA024,Europe,Generic,P5,11,MEDIUM,TIER2
SLA025,Latin America,Vaccine,P1,10,HIGH,TIER1
SLA026,Latin America,Vaccine,P1,14,MEDIUM,TIER2
SLA027,Latin America,Vaccine,P1,18,LOW,TIER3
SLA028,Latin America,API,P2,12,HIGH,TIER1
SLA029,Latin America,API,P2,15,MEDIUM,TIER2
SLA030,Latin America,Diagnostic,P3,11,HIGH,TIER1
SLA031,Latin America,Biologic,P4,13,HIGH,TIER1
SLA032,Latin America,Generic,P5,15,MEDIUM,TIER2
SLA033,Africa,Vaccine,P1,12,HIGH,TIER1
SLA034,Africa,Vaccine,P1,16,MEDIUM,TIER2
SLA035,Africa,Vaccine,P1,21,LOW,TIER3
SLA036,Africa,API,P2,14,HIGH,TIER1
SLA037,Africa,API,P2,18,MEDIUM,TIER2
SLA038,Africa,Diagnostic,P3,13,HIGH,TIER1
SLA039,Africa,Biologic,P4,15,HIGH,TIER1
SLA040,Africa,Generic,P5,17,MEDIUM,TIER2
